Address;Status geocode;Formatted address;Latitude;Longitude;Type;Location Type;Street number;Street;Postal code;City;Country;Region;Department;Department number
17017000;Ok;Vila Guedes de Azevedo, Bauru - State of São Paulo, 17017-000, Brazil;-22.3370587;-49.0666378;postal_code;APPROXIMATE;;;17017-000;;Brazil;São Paulo;Bauru;Bauru
17010280;Ok;Bauru, State of São Paulo, 17010-280, Brazil;-22.3241168;-49.0783183;postal_code;APPROXIMATE;;;17010-280;;Brazil;State of São Paulo;Bauru;Bauru
17033070;Ok;R. das Macieiras - Nucleo Res. Pres. Geisel, Bauru - SP, 17033-070, Brazil;-22.3341915;-49.0365313;postal_code;APPROXIMATE;;Rua das Macieiras;17033-070;;Brazil;São Paulo;Bauru;Bauru
17014300;Ok;R. Rubens Arruda - Jardim Estoril, Bauru - SP, 17014-300, Brazil;-22.340003;-49.0748988;postal_code;APPROXIMATE;;Rua Rubens Arruda;17014-300;;Brazil;São Paulo;Bauru;Bauru
17015230;Ok;Praça Dom Pedro II - Centro, Bauru - SP, 17015-230, Brazil;-22.324495;-49.076371;postal_code;APPROXIMATE;;Praça Dom Pedro II;17015-230;;Brazil;São Paulo;Bauru;Bauru
17057281;Ok;Alameda Bauru - Conj. Hab. Pres. Eurico Gaspar Dutra, Bauru - SP, 17057-281, Brazil;-22.3262754;-49.1240796;postal_code;APPROXIMATE;;Alameda Bauru;17057-281;;Brazil;São Paulo;Bauru;Bauru
17010001;Ok;R. Batista de Carvalho - Centro, Bauru - SP, 17010-001, Brazil;-22.3223108;-49.0711361;postal_code;APPROXIMATE;;Rua Batista de Carvalho;17010-001;;Brazil;São Paulo;Bauru;Bauru
17012200;Ok;R. José Ferreira Marques - Vila Nova Cidade Universitaria, Bauru - SP, 17012-200, Brazil;-22.3380892;-49.0544863;postal_code;APPROXIMATE;;Rua José Ferreira Marques;17012-200;;Brazil;São Paulo;Bauru;Bauru
17054600;Ok;R. Chiyo Otake - Jardim Jandira, Bauru - SP, 17054-600, Brazil;-22.3449922;-49.0836044;postal_code;APPROXIMATE;;Rua Chiyo Otake;17054-600;;Brazil;São Paulo;Bauru;Bauru
17016230;Ok;R. Luso-Brasileira - Jardim Estoril IV, Bauru - SP, 17016-230, Brazil;-22.3391527;-49.0674774;postal_code;APPROXIMATE;;Rua Luso-Brasileira;17016-230;;Brazil;São Paulo;Bauru;Bauru
17020490;Ok;Alameda dos Heliotrópos - Madureira, Bauru - SP, 17020-490, Brazil;-22.3070243;-49.0631548;postal_code;APPROXIMATE;;Alameda dos Heliotrópos;17020-490;;Brazil;São Paulo;Bauru;Bauru
17018711;Ok;Av. Getúlio Vargas - Vila Aviação, Bauru - SP, 17018-711, Brazil;-22.356209;-49.0475783;postal_code;APPROXIMATE;;Avenida Getúlio Vargas;17018-711;;Brazil;São Paulo;Bauru;Bauru
17012191;Ok;Vila Nova Cidade Universitaria, Bauru - State of São Paulo, 17012-191, Brazil;-22.3348158;-49.0610352;postal_code;APPROXIMATE;;;17012-191;;Brazil;São Paulo;Bauru;Bauru
17017000;Ok;Vila Guedes de Azevedo, Bauru - State of São Paulo, 17017-000, Brazil;-22.3370587;-49.0666378;postal_code;APPROXIMATE;;;17017-000;;Brazil;São Paulo;Bauru;Bauru
17013231;Ok;Bauru, State of São Paulo, 17013-231, Brazil;-22.3151361;-49.0552358;postal_code;APPROXIMATE;;;17013-231;;Brazil;State of São Paulo;Bauru;Bauru
17013411;Ok;Av. Aureliano Cardia - Vila Cardia, Bauru - SP, 17013-411, Brazil;-22.320151;-49.0552753;postal_code;APPROXIMATE;;Avenida Aureliano Cardia;17013-411;;Brazil;São Paulo;Bauru;Bauru
17026000;Ok;Av. Dr. Marcos de Paula Raphael - Núcleo Habitacional Mary Dota, Bauru - SP, 17026-000, Brazil;-22.2959023;-49.044625;postal_code;APPROXIMATE;;Avenida Doutor Marcos de Paula Raphael;17026-000;;Brazil;São Paulo;Bauru;Bauru
17030520;Ok;Av. Duque de Caxias - Parque Paulistano, Bauru - SP, 17030-520, Brazil;-22.3272734;-49.0613508;postal_code;APPROXIMATE;;Avenida Duque de Caxias;17030-520;;Brazil;São Paulo;Bauru;Bauru
17051350;Ok;Vila Rocha, Bauru - State of São Paulo, 17051-350, Brazil;-22.3361717;-49.1018443;postal_code;APPROXIMATE;;;17051-350;;Brazil;São Paulo;Bauru;Bauru
17031700;Ok;Parque Bauru, Bauru - SP, 17031-700, Brazil;-22.3256504;-49.0207283;postal_code;APPROXIMATE;;;17031-700;;Brazil;São Paulo;Bauru;Bauru
17012205;Ok;R. Henrique Savi - Vila Nova Cidade Universitaria, Bauru - SP, 17012-205, Brazil;-22.3374308;-49.0538947;postal_code;APPROXIMATE;;Rua Henrique Savi;17012-205;;Brazil;São Paulo;Bauru;Bauru
17024230;Ok;R. José Maurício de Almeida - Novo Jardim Pagani, Bauru - SP, 17024-230, Brazil;-22.292445;-49.0696191;postal_code;APPROXIMATE;;Rua José Maurício de Almeida;17024-230;;Brazil;São Paulo;Bauru;Bauru
17033835;Ok;R. Izolino Marquês - Jardim Sambura, Bauru - SP, 17033-835, Brazil;-22.3375061;-49.0360731;postal_code;APPROXIMATE;;Rua Izolino Marquês;17033-835;;Brazil;São Paulo;Bauru;Bauru
17010000;Ok;R. Batista de Carvalho - Centro, Bauru - SP, 17010-000, Brazil;-22.3227925;-49.0730045;postal_code;APPROXIMATE;;Rua Batista de Carvalho;17010-000;;Brazil;São Paulo;Bauru;Bauru
17012350;Ok;R. João Abo Arrage - Vila Guedes de Azevedo, Bauru - SP, 17012-350, Brazil;-22.3362791;-49.0630219;postal_code;APPROXIMATE;;Rua João Abo Arrage;17012-350;;Brazil;São Paulo;Bauru;Bauru
17024820;Ok;R. Investigador Valdemir Nunes Medeiros - Núcleo Eldorado, Bauru - SP, 17024-820, Brazil;-22.3030216;-49.0555221;postal_code;APPROXIMATE;;Rua Investigador Valdemir Nunes Medeiros;17024-820;;Brazil;São Paulo;Bauru;Bauru
17032650;Ok;R. Osório Volpato - Jardim Olimpico, Bauru - SP, 17032-650, Brazil;-22.3270071;-49.0304277;postal_code;APPROXIMATE;;Rua Osório Volpato;17032-650;;Brazil;São Paulo;Bauru;Bauru
17011050;Ok;R. Vinte e Nove de Outubro - Vila Brunhari, Bauru - SP, 17011-050, Brazil;-22.3316521;-49.0556698;postal_code;APPROXIMATE;;Rua Vinte e Nove de Outubro;17011-050;;Brazil;São Paulo;Bauru;Bauru
17064864;Ok;R. Iracema Cândida Posca - Distrito Industrial Claudio Guedes Misquiati, Bauru - SP, 17064-864, Brazil;-22.2905826;-49.102316;postal_code;APPROXIMATE;;Rua Iracema Cândida Posca;17064-864;;Brazil;São Paulo;Bauru;Bauru
17014037;Ok;Bauru, State of São Paulo, 17014-037, Brazil;-22.3360125;-49.0684681;postal_code;APPROXIMATE;;;17014-037;;Brazil;State of São Paulo;Bauru;Bauru
17047020;Ok;R. Padre Francisco Van Der Maas - Vila Engler, Bauru - SP, 17047-020, Brazil;-22.3351406;-49.0459232;postal_code;APPROXIMATE;;Rua Padre Francisco Van Der Maas;17047-020;;Brazil;São Paulo;Bauru;Bauru
17063070;Ok;R. Prof. José Torres Brito - Vila Lemos, Bauru - SP, 17063-070, Brazil;-22.3108911;-49.0885801;postal_code;APPROXIMATE;;Rua Professor José Torres Brito;17063-070;;Brazil;São Paulo;Bauru;Bauru
17015031;Ok;R. Sete de Setembro - Centro, Bauru - SP, 17015-031, Brazil;-22.3265899;-49.0746405;postal_code;APPROXIMATE;;Rua Sete de Setembro;17015-031;;Brazil;São Paulo;Bauru;Bauru
17014037;Ok;Bauru, State of São Paulo, 17014-037, Brazil;-22.3360125;-49.0684681;postal_code;APPROXIMATE;;;17014-037;;Brazil;State of São Paulo;Bauru;Bauru
17065330;Ok;Alameda Cerquilho - Jardim Eldorado, Bauru - SP, 17065-330, Brazil;-22.3101945;-49.1251509;postal_code;APPROXIMATE;;Alameda Cerquilho;17065-330;;Brazil;São Paulo;Bauru;Bauru
17060350;Ok;R. José Bonifácio - Vila São João da Boa Vista, Bauru - SP, 17060-350, Brazil;-22.3158367;-49.0804327;postal_code;APPROXIMATE;;Rua José Bonifácio;17060-350;;Brazil;São Paulo;Bauru;Bauru
17012191;Ok;Vila Nova Cidade Universitaria, Bauru - State of São Paulo, 17012-191, Brazil;-22.3348158;-49.0610352;postal_code;APPROXIMATE;;;17012-191;;Brazil;São Paulo;Bauru;Bauru
17010000;Ok;R. Batista de Carvalho - Centro, Bauru - SP, 17010-000, Brazil;-22.3227925;-49.0730045;postal_code;APPROXIMATE;;Rua Batista de Carvalho;17010-000;;Brazil;São Paulo;Bauru;Bauru
17015000;Ok;Bauru, State of São Paulo, 17015-000, Brazil;-22.3084629;-49.0024379;postal_code;APPROXIMATE;;;17015-000;;Brazil;São Paulo;Bauru;Bauru
17053460;Ok;R. Alcides Concuruto - Estância Balneária Águas Virtuosas, Bauru - SP, 17053-460, Brazil;-22.3969496;-49.0961593;postal_code;APPROXIMATE;;Rua Alcides Concuruto;17053-460;;Brazil;São Paulo;Bauru;Bauru
17012450;Ok;Vila Universitaria, Bauru - State of São Paulo, 17012-450, Brazil;-22.3410898;-49.0548199;postal_code;APPROXIMATE;;;17012-450;;Brazil;São Paulo;Bauru;Bauru
17015360;Ok;R. Prof. José Ranieri - Centro, Bauru - SP, 17015-360, Brazil;-22.3252171;-49.0659871;postal_code;APPROXIMATE;;Rua Professor José Ranieri;17015-360;;Brazil;São Paulo;Bauru;Bauru
17022200;Ok;R. dos Lavradores - Nucleo Res. Edison Bastos Gasparini, Bauru - SP, 17022-200, Brazil;-22.2810179;-49.0854133;postal_code;APPROXIMATE;;Rua dos Lavradores;17022-200;;Brazil;São Paulo;Bauru;Bauru
17018520;Ok;Av. Affonso José Aiello - Vila Aviação, Bauru - SP, 17018-520, Brazil;-22.366813;-49.0566324;postal_code;APPROXIMATE;;Avenida Affonso José Aiello;17018-520;;Brazil;São Paulo;Bauru;Bauru
17010150;Ok;Rua Engenheiro Saint Martin - Centro, Bauru - SP, 17010-150, Brazil;-22.3283434;-49.0661245;postal_code;APPROXIMATE;;Rua Engenheiro Saint Martin;17010-150;;Brazil;São Paulo;Bauru;Bauru
17010160;Ok;Bauru, State of São Paulo, 17010-160, Brazil;-22.3128317;-49.0714912;postal_code;APPROXIMATE;;;17010-160;;Brazil;State of São Paulo;Bauru;Bauru
17047144;Ok;Jardim Marambá, Bauru - SP, 17047-144, Brazil;-22.3330147;-49.0448617;postal_code;APPROXIMATE;;;17047-144;;Brazil;São Paulo;Bauru;Bauru
17054300;Ok;Rua Luiz Gama - Vila Independencia, Bauru - SP, 17054-300, Brazil;-22.3393104;-49.0888169;postal_code;APPROXIMATE;;Rua Luiz Gama;17054-300;;Brazil;São Paulo;Bauru;Bauru
17056140;Ok;Vila São João do Ipiranga, Bauru - State of São Paulo, 17056-140, Brazil;-22.3526472;-49.1007389;postal_code;APPROXIMATE;;;17056-140;;Brazil;São Paulo;Bauru;Bauru
17022340;Ok;R. dos Motoristas - Nucleo Res. Edison Bastos Gasparini, Bauru - SP, 17022-340, Brazil;-22.2771436;-49.0848194;postal_code;APPROXIMATE;;Rua dos Motoristas;17022-340;;Brazil;São Paulo;Bauru;Bauru
17048290;Ok;R. Luís Levorato - Jardim Marabá, Bauru - SP, 17048-290, Brazil;-22.3653124;-49.0122437;postal_code;APPROXIMATE;;Rua Luís Levorato;17048-290;;Brazil;São Paulo;Bauru;Bauru
