;property_type;room_type;bed_type;accommodates;bedrooms;beds;number_of_reviews;bathrooms;price
715;Apartment;Private room;Real Bed;2;1;1;0;1;84
716;Apartment;Entire home/apt;Real Bed;6;2;3;19;1;123
717;Serviced apartment;Entire home/apt;Real Bed;4;1;4;10;1;220
718;Apartment;Entire home/apt;Real Bed;2;0;1;17;1;153
719;House;Entire home/apt;Real Bed;5;0;3;0;2;181
720;Apartment;Private room;Real Bed;2;1;1;3;1;60
721;Apartment;Private room;Real Bed;4;1;2;64;1;35
722;Apartment;Entire home/apt;Real Bed;10;5;6;73;3;550
723;Apartment;Private room;Real Bed;2;1;1;79;2;73
724;Apartment;Private room;Real Bed;2;1;1;1;1;60
725;Apartment;Entire home/apt;Real Bed;4;2;2;61;1;60
726;Apartment;Entire home/apt;Real Bed;4;1;2;11;1;215
727;Apartment;Entire home/apt;Real Bed;4;2;2;0;2;1000
728;Apartment;Entire home/apt;Real Bed;2;0;2;13;1;220
729;Apartment;Entire home/apt;Real Bed;8;4;4;70;1;120
730;Apartment;Entire home/apt;Real Bed;4;2;3;13;1;112
731;House;Entire home/apt;Real Bed;6;3;3;101;1;149
732;Serviced apartment;Entire home/apt;Real Bed;4;1;1;0;1;159
733;Apartment;Entire home/apt;Real Bed;5;2;3;12;1;125
734;House;Entire home/apt;Pull-out Sofa;8;2;5;16;2;80
735;House;Private room;Real Bed;2;1;1;30;1;80
736;Apartment;Entire home/apt;Real Bed;4;2;2;3;2;300
737;Bed and breakfast;Shared room;Real Bed;9;1;9;5;1;48
738;Apartment;Private room;Real Bed;2;1;1;0;1;185
739;Apartment;Private room;Real Bed;1;1;1;58;1;22
740;Apartment;Entire home/apt;Real Bed;4;1;2;207;1;145
741;Apartment;Entire home/apt;Real Bed;2;0;1;149;1;99
742;Apartment;Entire home/apt;Real Bed;8;4;6;0;3;899
743;Apartment;Entire home/apt;Real Bed;8;4;4;0;4.5;11190
744;Condominium;Entire home/apt;Real Bed;3;1;1;7;1;114
745;Apartment;Entire home/apt;Real Bed;8;3;6;6;1.5;320
746;House;Entire home/apt;Real Bed;8;4;4;45;3;420
747;Apartment;Entire home/apt;Real Bed;2;1;1;0;1;60
748;Apartment;Entire home/apt;Real Bed;4;2;2;0;2;500
749;Apartment;Entire home/apt;Real Bed;4;2;2;0;1;746
750;Apartment;Private room;Real Bed;2;1;1;3;1;50
751;Apartment;Private room;Real Bed;2;1;1;130;1;54
752;Apartment;Private room;Real Bed;1;1;1;34;1;25
753;Condominium;Entire home/apt;Real Bed;6;1;3;24;2;305
754;Apartment;Private room;Real Bed;1;1;1;0;1;38
755;House;Entire home/apt;Real Bed;6;3;3;2;3;471
756;Apartment;Entire home/apt;Pull-out Sofa;2;1;1;8;1;70
757;Apartment;Private room;Real Bed;3;1;3;0;1;179
758;Apartment;Entire home/apt;Real Bed;6;3;0;72;2;200
759;House;Private room;Real Bed;2;1;1;4;1;110
760;Apartment;Entire home/apt;Real Bed;5;2;2;1;2;330
761;Apartment;Entire home/apt;Real Bed;4;1;2;56;1;157
762;Apartment;Private room;Real Bed;2;1;1;25;1;24
763;Villa;Entire home/apt;Real Bed;4;2;2;0;2;184
764;Apartment;Entire home/apt;Real Bed;2;0;1;0;1;201
765;Apartment;Entire home/apt;Real Bed;2;2;1;4;1;75
766;Apartment;Private room;Real Bed;2;1;1;6;1;75
767;Apartment;Entire home/apt;Real Bed;3;2;2;26;1;299
768;Apartment;Private room;Real Bed;2;1;1;37;1;38
769;Townhouse;Entire home/apt;Real Bed;5;3;4;16;3;125
770;Condominium;Entire home/apt;Real Bed;4;1;1;91;1;179
771;Apartment;Entire home/apt;Real Bed;2;0;1;99;1;150
772;Apartment;Entire home/apt;Real Bed;2;1;1;86;1;229
773;Condominium;Entire home/apt;Real Bed;2;1;1;7;1;200
774;House;Entire home/apt;Real Bed;6;2;2;27;2;799
775;Apartment;Private room;Real Bed;3;1;2;1;1;298
776;Apartment;Entire home/apt;Real Bed;8;2;7;61;3;85
777;Apartment;Private room;Real Bed;2;1;2;1;1;63
778;Bed and breakfast;Private room;Real Bed;4;2;2;3;1;150
779;Apartment;Private room;Real Bed;2;1;1;89;1;40
780;Apartment;Entire home/apt;Real Bed;2;1;2;5;1;55
781;Apartment;Private room;Real Bed;2;1;1;1;1;81
782;Loft;Entire home/apt;Real Bed;4;0;2;1;1;75
783;Apartment;Private room;Real Bed;1;1;1;6;1;20
784;Apartment;Entire home/apt;Real Bed;4;1;1;116;1;40
785;House;Entire home/apt;Real Bed;10;4;6;18;3.5;275
786;Apartment;Entire home/apt;Real Bed;2;1;1;16;1;64
787;Apartment;Entire home/apt;Real Bed;2;2;2;18;1;114
788;Apartment;Entire home/apt;Real Bed;4;2;3;4;2;250
789;Condominium;Entire home/apt;Real Bed;6;2;3;1;2;149
790;Apartment;Entire home/apt;Real Bed;2;0;1;9;1;35
791;Apartment;Entire home/apt;Real Bed;4;2;2;18;1;375
792;Apartment;Entire home/apt;Real Bed;5;2;2;83;1;149
793;House;Entire home/apt;Real Bed;4;0;1;131;1;100
794;Apartment;Private room;Real Bed;2;1;1;15;1;69
795;Apartment;Private room;Real Bed;1;1;1;4;1;100
796;Hostel;Private room;Real Bed;4;1;2;0;1;131
797;Apartment;Entire home/apt;Real Bed;4;1;2;110;1;39
798;Apartment;Private room;Real Bed;2;1;1;76;1;40
799;Apartment;Shared room;Real Bed;1;1;1;2;1;369
800;Serviced apartment;Entire home/apt;Real Bed;2;1;2;1;1;76
801;Apartment;Private room;Real Bed;1;1;0;12;1;40
802;House;Entire home/apt;Real Bed;8;4;5;0;3;1105
803;Apartment;Entire home/apt;Real Bed;5;1;3;0;1;261
804;Apartment;Private room;Real Bed;1;1;1;2;1;9
805;Apartment;Private room;Real Bed;1;1;1;1;1;40
